route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"23-T60-sj2-1","2436","T60","Castle Hill to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T61-sj2-1","2436","T61","Blacktown to Parramatta via Prince Alfred Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T62-sj2-1","2436","T62","Castle Hill to Parramatta via Prince Alfred Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T63-sj2-1","2436","T63","Rouse Hill Town Centre to Parramatta via Kellyville Ridge","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T64-sj2-1","2436","T64","Rouse Hill Town Centre to Parramatta via Kellyville","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T65-sj2-1","2436","T65","Rouse Hill Town Centre to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-T66-sj2-1","2436","T66","Rouse Hill to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-446-sj2-1","2437","446","St George Hospital to Roselands","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-450-sj2-1","2437","450","Burwood to Hurstville","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-939-sj2-1","2437","939","Bankstown to Greenacre","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-940-sj2-1","2437","940","Bankstown to Hurstville via Riverwood","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-941-sj2-1","2437","941","Bankstown to Hurstville via Greenacre","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-942-sj2-1","2437","942","Lugarno to Campsie","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-943-sj2-1","2437","943","Lugarno to Hurstville","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-944-sj2-1","2437","944","Bankstown to Hurstville via Peakhurst Heights","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-945-sj2-1","2437","945","Bankstown to Hurstville via Mortdale","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-946-sj2-1","2437","946","Bankstown to Hurstville via Lakemba and Greenacre","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-953-sj2-1","2437","953","Hurstville to Connells Point (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-954-sj2-1","2437","954","Hurstville Grove to Hurstville","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-955-sj2-1","2437","955","Mortdale to Hurstville via Oatley","Sydney Buses Network","3","00B5EF","FFFFFF"
"24-S14-sj2-1","2437","S14","Lakemba to Mt Lewis via Roselands","Sydney Buses Network","3","00B5EF","FFFFFF"
"25-401-sj2-1","2438","401","Sydney Olympic Park to Lidcombe","Sydney Buses Network","3","00B5EF","FFFFFF"
"25-406-sj2-1","2438","406","Five Dock to Hurlstone Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"25-407-sj2-1","2438","407","Burwood to Strathfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"25-408-sj2-1","2438","408","Rookwood Cemetery to Burwood via Flemington","Sydney Buses Network","3","00B5EF","FFFFFF"
"25-412-sj2-1","2438","412","Campsie to City Martin Place via Earlwood","Sydney Buses Network","3","00B5EF","FFFFFF"
